Id,PostId,PostNoticeTypeId,CreationDate,DeletionDate,ExpiryDate,Body,OwnerUserId,DeletionUserId
"1","12622","13","2011-10-14 09:47:20","2011-10-20 08:27:11","","I'm interested in the subtle ways in which you can progressively engage users from the beginner to the expert mode. Beginners need not to be overwhelmed, but must quickly access basic functionality. Experts need power, speed and flexibility. To progress from one to the other, less accessible features need to be discoverable in a progressive but consistent way. Hence - *What are some tried and true design patterns for providing and aiding discoverability*.","6046","6046"
"2","12863","1","2011-10-17 14:50:09","2011-10-17 14:51:28","","","61","61"
"3","12674","14","2011-10-17 16:36:51","2011-10-24 06:25:37","","I'm looking for answers answer the specifics of the question.  Namely a good general tooltip or help explanation for tags, and a clear label for them.","4595","4595"
"4","10438","11","2011-10-20 07:37:48","2011-10-28 09:19:57","","","7518","-1"
"5","13026","13","2011-10-25 13:03:51","2011-10-26 20:03:21","","","1813","1813"
"6","13250","13","2011-10-29 15:31:09","2011-11-06 17:09:30","","this is fairly urgent: I know that I don't want to go down the manual analysis route! And there must be individuals out there who have done a project like this?","4701","4701"
"7","13653","13","2011-11-12 10:46:56","2011-11-18 11:46:43","","","4701","4701"
"8","13897","12","2011-11-15 21:57:28","2011-11-21 22:52:36","","","7627","7627"
"9","14267","11","2011-11-25 20:29:56","2011-11-28 16:53:56","","","9797","9797"
"10","14269","11","2011-11-25 23:40:01","2011-12-04 01:39:53","","The answer should preferably reference research or examples that strengthen your argument.","5359","-1"
"11","14233","11","2011-11-29 08:55:34","2011-12-05 14:32:54","","","9711","9711"
"12","11949","12","2011-12-05 12:12:49","2011-12-12 10:39:36","","","8207","8207"
"13","14622","11","2011-12-06 19:56:15","2011-12-13 20:01:28","","Most creative design suggestions win :-)","7245","7245"
"14","5417","11","2011-12-13 00:08:21","2011-12-19 20:50:48","","","10181","10181"
"15","14194","14","2011-12-19 18:28:47","2011-12-21 16:53:17","","I'd like to see an answer that provides an overview of widely accepted guidelines and standards that can be used to objectively determine whether the links' presentation should be changed in any way.","61","61"
"16","12637","11","2011-12-22 15:21:44","2011-12-28 14:13:15","","Additional research citations would be ideal, especially regarding task-flow interruption.","7627","7627"
"17","15140","13","2011-12-22 22:36:44","2011-12-29 20:57:08","","","3081","3081"
"18","14869","12","2011-12-29 18:53:06","2012-01-06 20:28:50","","I just like to get more views on this and more feedback as I believe its  a pertinent question with regards to mobile UI design and usablity","5113","-1"
"19","15985","1","2012-01-11 12:11:36","","","","249",""
"20","17221","3","2012-02-13 20:12:46","","","","249",""
"21","9322","3","2012-02-13 20:16:53","","","","249",""
"22","17219","3","2012-02-13 20:17:31","","","","249",""
"23","17217","1","2012-02-14 15:35:21","","","","249",""
"24","17259","1","2012-02-14 16:21:27","","","","249",""
"25","17286","3","2012-02-14 23:50:54","","","","249",""
"26","17233","1","2012-02-14 23:57:10","","","","249",""
"27","17318","3","2012-02-15 13:11:30","","","","249",""
"28","17321","3","2012-02-15 14:28:15","","","","249",""
"29","17349","1","2012-02-16 01:10:35","","","","249",""
"30","17690","3","2012-02-24 00:30:37","","","","249",""
"31","17776","3","2012-02-27 08:37:17","","","","249",""
"32","17798","3","2012-02-27 18:02:20","","","","249",""
"33","17838","3","2012-02-28 02:53:36","","","","249",""
"34","17915","1","2012-02-28 13:50:01","","","","249",""
"35","17923","3","2012-02-28 15:40:20","","","","249",""
"36","17837","3","2012-02-28 16:07:38","","","","249",""
"37","17684","3","2012-02-28 16:07:47","","","","249",""
"38","17691","3","2012-02-28 16:08:10","","","","249",""
"39","17914","1","2012-02-28 16:14:23","","","","249",""
"40","17932","3","2012-02-29 00:11:45","","","","249",""
"41","17965","3","2012-02-29 15:24:56","2012-02-29 18:15:59","","","249","249"
"42","18024","3","2012-03-01 12:28:44","","","","249",""
"43","18065","1","2012-03-02 11:00:52","2012-03-02 12:10:47","","","249","249"
"44","18132","3","2012-03-04 15:34:18","","","","249",""
"45","17566","3","2012-03-05 11:45:52","","","","249",""
"46","18086","13","2012-03-05 12:05:56","2012-03-12 08:51:56","","I'm looking for a specific case where underlining standard paragraph text is useful on a web-page.","3865","3865"
"47","10385","3","2012-03-06 09:37:41","","","","249",""
"48","18251","1","2012-03-07 09:43:17","","","","249",""
"49","18247","1","2012-03-07 09:43:37","","","","249",""
"50","18260","1","2012-03-07 13:04:28","","","","3865",""
"51","18302","1","2012-03-07 14:57:14","","","","249",""
"52","18305","1","2012-03-08 00:17:30","2012-03-08 11:18:59","","","249","3865"
"53","18346","1","2012-03-08 11:44:41","","","","3865",""
"54","18422","1","2012-03-09 17:39:39","","","","249",""
"55","18238","13","2012-03-13 14:36:33","2012-03-18 11:13:00","","I am starting a bounty on this question to get more quality answers. So far all of the highly rated answers are based on assumptions and personal experience while they do not reference any resources or data.","3593","3593"
"56","18301","1","2012-03-13 16:34:40","","","","3865",""
